Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Como Liderar de Forma Eficaz,"Todos os líderes enfrentam o mesmo desafio: muito serviço a fazer e pouco tempo disponível. Neste curso, o consultor de liderança Mike Figliuolo apresenta o conceito de ""capital de liderança"", que é a quantidade finita de tempo e energia que temos disponíveis para liderar, gerenciar e desenvolver os membros da equipe. Ele descreve as quatro maneiras que os líderes têm de investir seu capital de liderança: direcionar os colaboradores, garantir que o trabalho seja feito, garantir que o trabalho seja entregue e desenvolver talentos. Em seguida, Mike ajuda a avaliar se você está usando seu capital de liderança com sabedoria, observando os resultados da equipe: a quantidade de trabalho, a qualidade do trabalho, a pontualidade e os impactos na motivação e nos relacionamentos. No final, ele explica como realocar seu capital de liderança e modificar o comportamento seu e da equipe a fim de melhorar o desempenho.",Course,2022-10-08 08:38 UTC,N/A,false,N/A,
Como Conduzir Conversas Difíceis,"Conflitos são inevitáveis, no trabalho e na vida. Gerentes devem abordar problemas de desempenho e colegas com prioridades concorrentes devem descobrir como trabalhar juntos. Essas situações exigem conversas difíceis. Neste curso, Marlene Chism explica como conduzir conversas difíceis, desenvolver as competências de comunicação e melhorar os relacionamentos, trabalho em equipe e desempenho nos negócios. Ela mostra como identificar as diferenças subjacentes nos estilos de trabalho, objetivos e dinâmica de poder e como mudar a forma como vemos os conflitos. Também fornece um modelo para levar a conversa em uma direção positiva e determinar os próximos passos. Além disso, compartilha como testar a resistência com uma simples frase.",Course,2022-02-16 13:55 UTC,N/A,false,N/A,
A Linguagem Corporal da Liderança,"As pesquisas mostram que quando seus sinais verbais e não verbais estão fora de sintonia, as pessoas são forçadas a escolher entre o que ouvem e o que veem. No subconsciente, elas vão acreditar na sua linguagem corporal. Neste curso, a doutora e especialista em linguagem corporal no local de trabalho Carol Kinsey Goman revela como a linguagem corporal é vista e costuma ser mal interpretada. Ela compartilha os seis sinais não verbais que você precisa conhecer para causar uma primeira impressão positiva. Também fala da importância da linguagem corporal para líderes e mostra como você pode criar uma presença de liderança. Por fim, ela oferece dicas simples e eficazes sobre comunicação com gestos e postura.",Course,2021-08-11 12:45 UTC,N/A,false,N/A,
Excel 2016: Tabelas Dinâmicas - Uma Visão Detalhada,"Aprenda a usar tabelas dinâmicas para fazer análises complexas, montar resumos gerenciais e extrair informações estratégicas de bases de dados extensas. Conheça as principais aplicações e ferramentas do Excel para potencializar uma tabela dinâmica convencional, tais como gravação de macro, integração com Access e Power Pivot. Do nível básico ao intermediário, ensinamos tudo o que é essencial saber sobre tabela dinâmica para uma perfomance acima da média na sua empresa.",Course,2019-03-07 09:52 UTC,N/A,false,N/A,
Dicas de 1 Minuto para Criar Tabelas Dinâmicas de Forma Rápida no Excel,"Domine a criação de Tabelas Dinâmicas no Excel com dicas rápidas de um minuto. Um curso perfeito para quem deseja aprender de forma prática e eficiente, abordando desde a criação básica até a personalização avançada das Tabelas Dinâmicas. Aumente sua produtividade e aprenda a analisar dados de maneira eficaz em pouco tempo.",Course,2025-12-10 19:50 UTC,N/A,false,N/A,
Dicas de 1 Minuto sobre as Funcionalidades Mais Úteis do Excel,"Descubra como usar as funcionalidades mais úteis do Excel com dicas rápidas de um minuto! Um curso perfeito para quem quer dominar as ferramentas essenciais do Excel de forma rápida e eficiente. Explore recursos como Tabelas Dinâmicas, Filtros, Formatação Condicional e muito mais. Melhore seu desempenho no Excel em pouco tempo.",Course,2026-01-22 14:24 UTC,N/A,false,N/A,
Word 2016: Formação Básica,"Este é um curso de Formação Básica do Microsoft Word 2016. Ele é voltado para todos aqueles que ainda não conhecem ou que têm conhecimentos básicos do aplicativo. O Word é o editor de textos líder do mercado e é utilizado na maioria das empresas. Se você quer aprender a explorar melhor esse aplicativo, esse curso é voltado para você. Neste curso, verá como utilizar teclas de atalhos para movimentar-se e ser eficiente, aprenderemos a fazer a diagramação de textos com imagens, utilizaremos tabelas, tabulares e falaremos bastante sobre formatação e recursos para tornar seus documentos mais eficazes.",Course,2019-05-02 11:09 UTC,N/A,false,N/A,
Comunicação Assertiva para Gestores de Alto Desempenho,"Pronto/pronta para embarcar na jornada da comunicação assertiva?<br><br>

Junte-se a Marc Tawil, estrategista em comunicação com mais de trinta anos de experiência e explore o poder de liderar com confiança, empatia e assertividade. Desvende os segredos do autoconhecimento e os pilares da ética, valores, limites, necessidades, autoestima e autoconfiança. Desenvolva estratégias para uma comunicação clara e eficaz em diversos cenários, abrangendo desde a linguagem corporal até a gestão de conflitos. Gerencie sua comunicação com maestria, adaptando-se à complexidade do cenário corporativo, e torne-se um gestor ou gestora de alto desempenho que inspira e transforma.",Course,2025-02-21 08:53 UTC,N/A,false,N/A,
Como Passar da Colaboração à Gerência,"Antes de começar em seu primeiro cargo de gerência, é importante se preparar para uma mudança de mentalidade e prioridades. Nesse curso, a coach em liderança, autora de best-sellers e consultora Roberta Matuson explica como iniciar com êxito seu novo cargo de gerência. Roberta compartilha estratégias que ajudarão você a fazer a transição de foco em seu próprio desempenho, como colaborador individual, para foco no sucesso da equipe, como gerente. Ela ajuda você a enfrentar os obstáculos comuns, como gerenciar ex-colegas, obter o compromisso e avaliar a equipe, e se preparar para evoluir como líder.",Course,2019-01-31 23:36 UTC,N/A,false,N/A,
Análise de Dados com SQL Server,"Sabemos que o SQL Server é uma ferramenta poderosa de gerenciamento de banco de dados, que armazena e dá acesso aos seus dados para análise, mas estamos prontos para explorar todo o seu potencial?<br>
Neste curso, vamos descobrir várias maneiras de trabalhar com análise de dados usando o SQL Server, o Sistema de Gerenciamento de Banco de Dados da Microsoft. Trabalharemos com o SQL Server Management Studio (SSMS) nessa jornada.<br>
Juntos, vamos explorar seus recursos e possibilidades, integrando a análise de dados em nossas atividades diárias.<br>
Capacite-se na melhor solução de gerenciamento de banco de dados do mercado e prepare-se para uma jornada de aprendizado e transformação.",Course,2026-01-07 01:25 UTC,N/A,false,N/A,
Python para Não Programadores,"Este curso tem como objetivo ensinar os conceitos básicos da linguagem Python para pessoas interessadas em dar os primeiros passos no mundo da programação. Através de exercícios práticos, a instrutora e analista de dados Ana Cecília Vieira apresenta conceitos-chave sobre pensamento computacional e lógica de programação, imprescindíveis para que a audiência compreenda como desenvolver, de forma mais eficiente, seu aprendizado sobre linguagens de programação. Explore definições, convenções e sintaxe do Python de forma acessível e prática. Descubra as bases da programação com linguagem Python com este curso projetado para não programadores.",Course,2024-07-21 21:06 UTC,N/A,false,N/A,
Formação Básica em Word (Office 365/Microsoft 365),"Este é um curso sobre o editor de Textos Word do pacote Office 365 (Microsoft 365) na sua versão mais atualizada. Aprenda conceitos essenciais para tornar seus documentos incríveis, utilizando recursos desse sensacional aplicativo! Você aprenderá a diagramar seu documento de forma correta e ainda utilizar recursos como tabelas, inserção e posicionamento de imagens além de personalizar seus documentos para dar uma aparência profissional em seus textos.",Course,2019-12-13 23:21 UTC,N/A,false,N/A,
Transição para um Cargo de Gerência: Profissionais de Vendas,"A transição de uma posição de vendedor para gerência de vendas é um desafio significativo, que exige adaptações e o desenvolvimento de novas habilidades. Compreender as responsabilidades e demandas dessa nova função é essencial. Neste curso ministrado por Sylvia Hartmann, uma empreendedora e líder empresarial com mais de duas décadas de experiência, você aprenderá a estabelecer conexões com sua nova equipe e desenvolver o grupo tanto tecnicamente quanto psicologicamente para superar desafios e obter melhores resultados. Além disso, explorará técnicas e estratégias de vendas consultivas; como lidar com a utilização de dados, funis de vendas e IA para otimizar seu desempenho. E entenderá como construir uma equipe de alto desempenho.",Course,2025-04-03 11:18 UTC,N/A,false,N/A,
Introdução à Amazon Web Services: Computação em Nuvem,"Para as pessoas sem formação técnica, pode ser difícil decifrar a Amazon Web Services (AWS). Este curso introdutório faz uma ponte entre não engenheiros e a nuvem, ajudando profissionais de funções não técnicas, como equipes financeiras, gerentes de projetos e profissionais de marketing, a aproveitar ao máximo a AWS. A instrutora Hiroko Nishimura apresenta um breve histórico da computação em nuvem, uma visão geral dos modelos de implantação de nuvem e um resumo dos princípios de projetos em nuvem. <br/><br/>Observação: este curso também está correlacionado com o primeiro domínio do exame AWS Certified Cloud Practitioner. Os quatro cursos da série <i>Introdução à Amazon Web Services</i> ajudam você a se preparar para o exame.",Course,2025-02-04 20:16 UTC,N/A,false,N/A,
O Ciclo de Vida dos Dados: Etapas e Gestão,"Conheça as diferentes etapas que compõem o ciclo de vida dos dados, que vão da criação, uso, compartilhamento e armazenamento até a eliminação. Descubra como um ciclo de vida correto dos dados pode ajudar no armazenamento, segurança, disponibilidade e integridade dos dados da organização e veja os desafios que as empresas enfrentam atualmente quando se trata da gestão de dados, do planejamento a ser seguido para sua coleta e aquisição e de como os dados devem ser tratados durante o processamento e análise.",Course,2024-12-18 00:16 UTC,N/A,false,N/A,
Outlook 2019: Formação Básica,"Esse curso é destinado a usuários que desejam conhecer mais a fundo as possibilidades da nova versão do Outlook, a versão 2019. Mostraremos como configurar contas de e-mail, pastas, regras e trabalhar com tarefas, calendário e ainda conhecer a nova interface da barra de ferramentas que se tornou muito mais intuitiva e trouxe melhorias para facilitar o dia a dia do uso do e-mail.",Course,2019-12-07 14:48 UTC,N/A,false,N/A,
Microsoft Teams: Dicas e Truques,"Descubra como trabalhar mais eficientemente com o Teams, o popular aplicativo de colaboração do Microsoft Office 365. Neste curso, Mário Trentim compartilha dicas que podem ajudar os usuários a aproveitar o Teams ao máximo, explorando comandos úteis e atalhos de teclado que podem ajudá-lo a agilizar seu fluxo de trabalho e a usar o Teams como um hub para acessar informações de diferentes aplicativos do Office 365.",Course,2021-08-24 16:35 UTC,N/A,false,N/A,
Excel 2013: Formação Básica,"Esse curso possui uma abordagem focada nas principais ferramentas do Excel e na produtividade de profissionais por meio de execuções, atalhos e facilidades que são ensinadas ao longo das aulas. Serão desenvolvidas planilhas, análises e execuções em casos semelhantes ao dia a dia de profissionais.",Course,2019-02-09 02:27 UTC,N/A,false,N/A,
Desenvolvimento de Chatbots com Python,"Aprenda a desenvolver chatbots inteligentes usando Python. Neste curso prático, você explorará as principais bibliotecas e ferramentas para criar assistentes virtuais eficientes. Domine técnicas de processamento de linguagem natural e integração com diversas plataformas de comunicação. Ideal para iniciantes e desenvolvedores que buscam expandir suas habilidades em IA.",Course,2026-03-08 22:49 UTC,N/A,false,N/A,
Como Obter a Flexibilidade Desejada no Trabalho,"Se você está se preparando para negociar a flexibilidade no trabalho, siga estes conselhos de Camille Lin. Você vai se organizar e elaborar uma estratégia de negociação. Você verá quais são as diferentes formas de flexibilidade, quais são os mitos em relação a isso, como avaliar o interesse de ambas as partes e como conduzir as discussões. Ao longo deste curso, você também aprenderá a se autoavaliar e evitar as armadilhas após sua proposta ter sido aceita.",Course,2024-11-18 19:56 UTC,N/A,false,N/A,
Contratação por Desempenho,"Os melhores profissionais não estão procurando apenas um outro cargo; eles querem desafios e crescimento. Para conseguir os melhores profissionais, você precisa atrai-los de modo diferente, o que significa que seu processo de recrutamento — sua prospecção, entrevista e recrutamento — precisam mudar, e até mesmo seu modo de escrever descrições de cargo. Neste curso, Lou Adler, CEO e fundador do Adler Group, explica a contratação por desempenho, um processo completo de quatro etapas para contratar os melhores talentos. Lou descreve as etapas para ajudá-lo a ampliar o banco de talentos (prospecção), criar descrições de cargo que entregue os candidatos da mais alta qualidade (seleção), entrevistar para que você descobrir o que realmente leva ao desempenho (entrevista) e tomar as melhores decisões de contratação (recrutamento).",Course,2020-12-16 17:59 UTC,N/A,false,N/A,
Fundamentos de React,"O curso Fundamentos de React com Wesley Gado é projetado para fornecer aos alunos uma compreensão sólida dos princípios básicos e das práticas essenciais do React, uma das bibliotecas JavaScript mais populares para o desenvolvimento de interfaces de usuário. No início, os participantes aprenderão sobre os conceitos fundamentais do React, como componentes, propriedades, estados e funções e eventos. Além disso, serão introduzidos ao JSX, uma extensão de sintaxe que facilita a escrita de elementos React com uma sintaxe semelhante ao HTML.",Course,2025-06-03 11:44 UTC,N/A,false,N/A,
Fundamentos de Python: Arquivos e I/O,"É certo que, em algum momento da sua carreira, você desenvolverá uma aplicação que se comunique com arquivos, seja para guardar informações, ler configurações ou até criar backups. Por isso, é de suma importância que nós, desenvolvedores, saibamos como manipular arquivos utilizando o Python. <br><br>

O Python possui diversos métodos para isso, incluindo leitura, escrita e outras operações. Neste curso, exploraremos esses recursos para que você possa manipular arquivos com eficiência no Python.",Course,2026-03-17 01:15 UTC,N/A,false,N/A,
Fundamentos de AWS - Amazon Web Services,"A AWS é um dos principais serviços de cloud disponíveis atualmente. Contando com uma variedade imensa de serviços, com a AWS é possível executar qualquer aplicação na nuvem, seja ela desenvolvida em Windows ou Linux, de forma segura e escalável.<br>
Neste curso, falaremos sobre conceitos de cloud computing e da própria plataforma, conheceremos os principais serviços disponíveis, além de estudar na prática os serviços mais usados. Dentre várias outras coisas, você aprenderá os conceitos básicos e termos utilizados com Cloud Computing, o funcionamento do AWS, suas regiões e como é sua organização dos recursos, os principais serviços de computação, storage, banco de dados e muito mais.",Course,2024-11-05 19:49 UTC,N/A,false,N/A,
GitHub Copilot: Formação Básica,"Este curso capacita você a dominar essa revolucionária ferramenta de codificação assistida por IA. Junte-se a Júlio Arruda, Microsoft MVP e primeiro GitHub Star do Brasil, e aprenda a integrar, configurar e utilizar o GitHub Copilot em suas rotinas de desenvolvimento, aproveitando ao máximo suas capacidades para impulsionar a eficiência, qualidade e inovação em seus projetos. Com uma série de vídeos cuidadosamente elaborados, você será guiado por cada aspecto da plataforma, desde sua instalação até técnicas avançadas de aproveitamento de seus recursos. Esteja pronto para transformar sua experiência de programação com o GitHub Copilot: sua aliada inteligente para o desenvolvimento de software.",Course,2024-09-10 22:15 UTC,N/A,false,N/A,
Introdução à Amazon Web Services: Principais Serviços,"A documentação e os recursos para utilizar a Amazon Web Services costumam estar repletos de conceitos e jargões técnicos que não engenheiros têm dificuldade para assimilar. A série <i>Introdução à Amazon Web Services</i> faz uma ponte entre não engenheiros e a AWS. Neste curso, o terceiro da série, veja uma introdução aos principais serviços que constituem a Amazon Web Services. A instrutora Hiroko Nishimura apresenta as principais tecnologias da AWS, serviços de computação, armazenamento, banco de dados, rede, distribuição de conteúdo e ferramentas de gestão. br/><br/>Observação: este curso também está correlacionado com o terceiro domínio do exame AWS Certified Cloud Practitioner. Os quatro cursos da série <i>Introdução à Amazon Web Services</i> ajudam você a se preparar para o teste.",Course,2025-01-16 12:21 UTC,N/A,false,N/A,
Fundamentos de HTTP para Desenvolvedores,"Você deseja aprimorar suas habilidades de desenvolvimento e compreender melhor o funcionamento da web? Neste curso, aprenda os conceitos essenciais do HTTP, o protocolo de comunicação que permite a troca de informações entre navegadores e servidores. Junte-se ao instrutor Elton Fonseca e explore desde os princípios básicos, como requisições e respostas, até tópicos mais avançados, como métodos HTTP, status codes, e cabeçalhos.",Course,2025-05-10 14:54 UTC,N/A,false,N/A,
"Introdução à Ciência de Dados, Big Data e Aprendizagem de Máquina","Este curso oferece uma abordagem inicial à Ciência de Dados, Big Data e Aprendizagem de Máquina, cobrindo conceitos fundamentais, técnicas e ferramentas essenciais. Você aprenderá a coletar, processar e analisar grandes volumes de dados, além de aplicar algoritmos de aprendizado de máquina para resolver problemas reais. Ideal para iniciantes e profissionais que desejam se aprofundar nessas áreas emergentes.",Course,2025-06-04 12:45 UTC,N/A,false,N/A,
Fundamentos de Kubernetes,"Este curso oferece uma introdução abrangente ao Kubernetes, a plataforma de orquestração de contêineres que está transformando o cenário de desenvolvimento de software. Junte-se ao instrutor Thiago Davoglio e aprenda os conceitos básicos e as práticas essenciais para gerenciar, escalar e implantar aplicações em contêineres usando Kubernetes.",Course,2025-08-25 10:39 UTC,N/A,false,N/A,
Excel 2019: Fórmulas e Funções Avançadas,"Este curso consiste em demonstrar na prática a aplicação das principais fórmulas e funções do Excel 2019. São centenas de funções distribuídas em 12 categorias diferentes. Não há como dominar o Excel sem conhecer minimamente o poder das suas funções. Neste treinamento é abordado as principais funções para agregações de valores, cálculos condicionais e funções lógicas, cálculos estatísticos e matemáticos, manipulação de datas e hora, uso de referências relativas e absolutas e como depurar erros. Essencial para quem quer subir um degrau a mais no uso do Excel no dia a dia.",Course,2019-04-25 22:57 UTC,N/A,false,N/A,
Como Aproveitar ao Máximo o LinkedIn,"Este é um curso básico para qualquer profissional interessado em aprender a usar o Linkedin em todo seu potencial. 

Conecte-se a novos contatos, encontre oportunidades profissionais e compartilhe conteúdo para ampliar sua voz e presença na rede. Com um perfil completo e atrativo, você estará se destacando e acessando as melhores oportunidades.

Não perca este passo a passo que te ajudará a construir um perfil campeão, atual e relevante, aproveitando tudo o que o Linkedin pode oferecer a você.",Course,2021-03-17 12:23 UTC,N/A,false,N/A,
Diversidade nas Empresas: Como Abraçar a Comunidade LGBTQ+,"Você já sentiu que havia um aspecto pessoal que precisava esconder no trabalho? Já trabalhou em um ambiente em que sentia insegurança? Para muitas pessoas da comunidade LGBTQ+, esses sentimentos são realidades cotidianas, e a pressão para encobrir aspectos pessoais importantes gera obstáculos que não lhes permitem mostrar quem realmente são no trabalho. Neste curso, Rhodes Perry, líder em diversidade, equidade e inclusão, ensina uma abordagem sobre como você pode praticar atos de apoio a colegas LGBTQ+. Também oferece estratégias para líderes empresariais criarem uma organização com inclusão LGBTQ+. Rhodes apresenta exemplos práticos de experiências LGBTQ+ no trabalho, explica o valor de criar um ambiente que ofereça a colegas LGBTQ+ o que precisam para ter sucesso no trabalho e indica como pessoas e organizações podem promover a inclusão LGBTQ+.",Course,2025-10-17 15:05 UTC,N/A,false,N/A,
Git e GitHub: Formação Básica,"O controle de versão é uma habilidade essencial a ser dominada pela pessoas desenvolvedoras. O Git é de longe o sistema de controle de versão mais popular na web. Neste curso, a autora Amanda Cavallaro mostra como instalar o Git e usar os comandos fundamentais que você precisa para trabalhar com projetos Git: mover arquivos, gerenciar logs e trabalhar com branches (ramificações). Além disso, você aprenderá a trabalhar com o GitHub para explorar projetos existentes, clona-los em seu disco rígido local e utiliza-los como modelos para seus novos projetos.",Course,2024-09-19 11:01 UTC,N/A,false,N/A,
Excel 2013: Tabelas Dinâmicas,"Aprenda a usar tabelas dinâmicas para fazer análises complexas, montar resumos gerenciais e extrair informações estratégicas de bases de dados extensas. Conheça as principais aplicações e ferramentas do Excel para potencializar uma tabela dinâmica convencional, tais como gravação de macro, integração com Access e Power Pivot. Do nível básico ao intermediário, ensinamos tudo o que é essencial saber sobre tabela dinâmica para uma perfomance acima da média na sua empresa.",Course,2019-02-09 10:05 UTC,N/A,false,N/A,
Humor in the Workplace,"Humor can change lives and relationships. In this course, organizational consultant and former standup comedian Izzy Gesell helps us better understand why we laugh and how we use humor in our everyday lives: to protect, attack, connect, and distract. He goes on to explain how humor can be used strategically in the workplace to help relieve tension, shift perspectives, bring people together, and work more effectively and provides tips and tricks for both evaluating and expanding your humor skill set.",Course,2018-07-29 00:03 UTC,N/A,false,N/A,
Guia Rápido para uma Carreira na Área de Cibersegurança,"Você tem interesse em seguir uma carreira na área de cibersegurança? Este curso de Diane Ouandji lhe ajudará a se decidir. Nele você encontrará todas as informações indispensáveis, como pré-requisitos, habilidades exigidas, trajetórias possíveis, certificações a obter, bem como redes a frequentar e fontes de informação a buscar. Você verá que esta área também está aberta para transições de carreira, tanto se você já trabalha ou não em uma área relacionada ou tem uma carreira na área de tecnologias da informação (TI).",Course,2025-02-13 13:16 UTC,N/A,false,N/A,
Exame Preparatório 4: ISC2 Certified Information Systems Security Professional (CISSP),"<p>Este exame prático tem como objetivo ajudar você a se preparar para o exame de certificação <b>ISC2 Certified Information Systems Security Professional (CISSP)</b>. Depois de iniciar o exame prático, há três modos de teste disponíveis: com cronometragem, sem cronometragem ou personalizado. Cada modo permite tentativas ilimitadas, explicações para respostas corretas e incorretas e resultados detalhados do exame. O número e os tipos de perguntas no exame e a duração do exame cronometrado devem ser representativos do exame de certificação.</p>
<p><strong>Este exame prático é fornecido em inglês</strong> porque o exame de certificação oficial não está disponível em português.</p>
<p><b>Quer praticar mais?</b> Exames adicionais para esta certificação estão disponíveis e cada um tem um conjunto de questões exclusivo para preparação contínua.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/exame-preparatorio-1-isc2-certified-information-systems-security-professional-cissp"" target=""_blank""><i>Exame Preparatório 1: ISC2 Certified Information Systems Security Professional (CISSP)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/exame-preparatorio-2-isc2-certified-information-systems-security-professional-cissp"" target=""_blank""><i>Exame Preparatório 2: ISC2 Certified Information Systems Security Professional (CISSP)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/exame-preparatorio-3-isc2-certified-information-systems-security-professional-cissp"" target=""_blank""><i>Exame Preparatório 3: ISC2 Certified Information Systems Security Professional (CISSP)</i></a></li>
</ul>
<p><b>Sobre a certificação</b>: Para saber mais sobre esta certificação, visite <a href=""https://www.isc2.org/certifications/cissp/cissp-certification-exam-outline""
target=""_blank""><b>ISC2 Certified Information Systems Security Professional (CISSP)</b></a>.</p>
<p><i>As questões do exame prático fornecidas são representativas do exame de certificação, mas não são as questões reais que você verá no exame de certificação. Os exames práticos são para autoavaliação. Passar neste exame prático não garante que você passará no exame de certificação real.<i></p>",Course,2026-05-25 10:17 UTC,N/A,false,N/A,
Dicas Rápidas do GitHub,"Este curso te guia pelo universo do GitHub. Temos dicas para otimizar seu perfil, exibir suas contribuições e compartilhar seu trabalho. Aprenda a configurar repositórios, adicionar colaboradores e proteger seus branches. Descubra a maneira mais eficiente de trabalhar com o GitHub, desde fazer buscas até criar repositórios. Explore as ferramentas como o GitHub Pages, GitHub Projects, Actions, Webhooks e Codespaces e aprenda a utilizar a I.A. para te auxiliar no GitHub.",Course,2025-07-02 23:35 UTC,N/A,false,N/A,
Como Dizer Não,"Aprender a dizer não é escolher o que é importante para você. Neste curso, Todd Dewett mostra como priorizar a importância das tarefas de acordo com seus objetivos e valores. Usando estas diretrizes, você saberá quando dizer ""sim"" e quando dizer ""não"" de forma mais eficaz. Você também aprenderá a dizer não de maneira breve, honesta, positiva e respeitosa.",Course,2019-12-06 16:52 UTC,N/A,false,N/A,
PowerPoint 2013: Formação Básica,"Este é um treinamento voltado a todos que tenham interesse em conhecer o Microsoft PowerPoint 2013 e aprender ou aprimorar suas técnicas na construção de apresentações. Neste curso vamos explorar diversos recursos do aplicativo e mostrar a você conceitos que poderão tornar seus trabalhos mais ricos, dinâmicos e que encantarão seu público, seja ele no ambiente profissional, pessoal ou de estudos.",Course,2019-06-01 22:16 UTC,N/A,false,N/A,
Como Fazer Perguntas Poderosas para Vendas,"Muitas vezes, as visitas comerciais se transformam em um interrogatório, e os clientes em potencial se perguntam qual é o objetivo da conversa. Neste curso, Jeff Bloomfield, autor e coach de vendas de empresas da lista Fortune 500, oferece uma alternativa baseada no princípio de que as vendas eficazes começam com o foco nas questões mais importantes para os clientes. Jeff ajuda você a entender os problemas comerciais dos clientes e usar essas informações para orientar as perguntas de vendas. Ele explica como criar e fazer perguntas de sondagem eficazes, avaliar o impacto comercial da solução e ir além quando necessário. Ele também fornece conselhos sobre como manter o tom de voz apropriado durante toda a conversa, para uma interação de vendas mais satisfatória e um relacionamento duradouro com o cliente.",Course,2019-02-28 22:53 UTC,N/A,false,N/A,
Como Construir um Projeto com a API do ChatGPT,"Descubra o poder da IA generativa! Embarque em uma jornada prática e empolgante em que você aprenderá a transformar ideias em aplicações reais e impactantes. Imagine criar um aplicativo que analisa sites, resume conteúdos em posts incríveis para o LinkedIn, gera imagens personalizadas com o DALL-E e as publica automaticamente? Tudo isso já é possível com Python e a tecnologia OpenAI! Voltado para iniciantes e intermediários, o curso revela segredos da criação de chatbots, personalização de modelos e automação criativa. Prepare-se para dominar ferramentas de ponta, superar desafios reais e construir projetos únicos que farão você brilhar na sua carreira. Sua transformação começa agora.",Course,2026-02-15 01:04 UTC,N/A,false,N/A,
Burnout: Como Evitar o Esgotamento no Trabalho (2019),"Períodos prolongados de estresse — relacionados ao trabalho, vida pessoal ou problemas de saúde — podem levar ao burnout, ou esgotamento profissional. Este estado reduz a produtividade e nos enfraquece, sobrecarregados pelas tarefas cotidianas e nos sentindo cada vez mais pessimistas e ressentidos. Neste curso, Todd Dewett ajuda você a identificar as causas mais comuns de burnout, como o elevado número de horas dedicadas ao trabalho, muitas viagens de negócios, prazos curtos e falta de férias, a fim de encontrar uma maneira de evitar o acúmulo de estresse e se recuperar.",Course,2020-12-28 21:03 UTC,N/A,false,N/A,
